#{"t_start": 1769508235.4304972, "env_id": "None"}
r,l,t
-0.358868,54,99.386655
-0.588493,73,99.552599
-0.589259,73,99.721586
-0.336957,52,99.838553
-0.363578,64,99.986422
-0.558719,73,100.15192
-0.574676,73,100.317768
-0.370687,75,100.488427
-0.343653,56,100.6167
-0.550322,73,100.785015
-0.559636,73,100.984852
-0.590389,73,101.206101
-0.562823,73,101.379456
2.018765,296,102.104767
-0.564551,73,102.280018
-0.550323,73,102.454436
-0.55588,73,102.621106
-0.551985,73,104.945272
-0.351018,50,105.064974
-0.53666,73,105.252094
2.054031,214,105.783271
-0.553693,73,105.966868
2.043657,198,106.485119
-0.36669,51,106.612885
-0.563902,73,106.795399
-0.360452,56,106.941509
-0.55778,73,107.121903
-0.35581,57,107.261384
-0.334793,72,107.439903
-0.342589,54,107.569614
-0.531694,73,107.755154
-0.566843,73,107.942329
-0.336157,54,108.073637
-0.551848,73,108.256584
-0.359841,185,108.710268
-0.309322,84,108.946924
-0.545856,73,109.144596
-0.350782,59,109.318475
-0.352376,54,109.457811
-0.391121,225,110.023894
-0.361063,54,112.464094
-0.342433,57,112.608639
-0.352994,47,112.726752
2.04456,206,113.359699
-0.549849,73,113.584525
-0.346747,52,113.749893
-0.34868,54,113.924056
-0.329222,70,114.14867
-0.282615,177,114.616171
-0.534922,73,114.820077
-0.335252,67,115.013162
-0.525987,73,115.22565
-0.561955,73,115.430043
-0.575073,73,115.624003
-0.361235,54,115.756953
-0.571698,73,115.94794
-0.543028,73,116.13457
-0.32621,68,116.950921
-0.334547,51,117.085143
-0.227088,123,117.407665
-0.360706,57,117.561519
-0.352423,56,117.702899
2.045111,204,118.284849
-0.567264,73,118.481593
-0.338207,78,118.707807
